instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j1061_5.mm,74,2325,337,23,Optimal,6.76,No
j1061_6.mm,89,2787,382,30,Optimal,7.61,No
j1061_7.mm,87,2777,376,23,Optimal,8.12,No
j1061_8.mm,76,2413,343,33,Optimal,6.47,No
j1061_9.mm,78,2465,349,26,Optimal,8.71,No
j1062_1.mm,76,2416,343,15,Optimal,5.33,No
j1062_10.mm,83,2649,364,20,Optimal,5.55,No
j1062_2.mm,88,2809,379,23,Optimal,7.73,No
j1062_3.mm,80,2562,355,16,Optimal,7.24,No
j1062_4.mm,79,2536,352,15,Optimal,8.17,No
j1062_5.mm,72,2282,331,18,Optimal,5.06,No
j1062_6.mm,82,2596,361,20,Optimal,6.26,No
j1062_7.mm,73,2338,334,14,Optimal,5.11,No
j1062_8.mm,83,2646,364,19,Optimal,36.41,No
j1062_9.mm,81,2564,358,18,Optimal,6.08,No
j1063_1.mm,76,2416,343,17,Optimal,5.29,No
j1063_10.mm,65,2094,310,10,Optimal,4.02,No
j1063_2.mm,74,2361,337,17,Optimal,4.46,No
j1063_3.mm,77,2451,346,17,Optimal,4.11,No
j1063_4.mm,84,2675,367,12,Optimal,3.16,No
j1063_5.mm,77,2469,346,12,Optimal,5.97,No
j1063_6.mm,85,2719,370,15,Optimal,5.87,No
j1063_7.mm,80,2571,355,15,Optimal,3.70,No
j1063_8.mm,79,2524,352,10,Optimal,4.71,No
j1063_9.mm,82,2617,361,14,Optimal,9.73,No
j1064_1.mm,84,2657,367,16,Optimal,4.62,No
j1064_10.mm,75,2393,340,15,Optimal,2.75,No
j1064_2.mm,81,2567,358,15,Optimal,3.58,No
j1064_3.mm,72,2297,331,14,Optimal,3.96,No
j1064_4.mm,90,2867,385,13,Optimal,3.19,No
j1064_5.mm,59,1881,292,16,Optimal,3.32,No
j1064_6.mm,87,2777,376,11,Optimal,5.34,No
j1064_7.mm,81,2591,358,12,Optimal,3.84,No
j1064_8.mm,81,2573,358,14,Optimal,3.44,No
j1064_9.mm,77,2424,346,17,Optimal,4.33,No
j106_1.mm,83,2649,364,18,Optimal,3.19,No
j106_3.mm,89,2805,382,29,Optimal,39.84,No
j106_4.mm,85,2731,370,23,Optimal,12.62,No
j106_5.mm,85,2683,370,37,Optimal,19.14,No
j106_7.mm,72,2288,331,23,Optimal,5.96,No
j106_8.mm,70,2251,325,23,Optimal,3.90,No
j107_1.mm,74,2373,337,14,Optimal,5.06,No
j107_2.mm,79,2518,352,24,Optimal,6.14,No
j107_3.mm,84,2687,367,23,Optimal,4.86,No
j107_4.mm,91,2914,388,19,Optimal,8.18,No
j107_5.mm,83,2628,364,24,Optimal,6.14,No
j107_6.mm,75,2378,340,36,Optimal,9.39,No
j107_8.mm,86,2706,373,31,Optimal,12.26,No
j107_9.mm,85,2665,370,28,Optimal,2.78,No
j108_10.mm,77,2451,346,23,Optimal,4.21,No
j108_3.mm,80,2547,355,17,Optimal,6.62,No
j108_5.mm,76,2401,343,25,Optimal,3.74,No
j108_6.mm,74,2367,337,23,Optimal,5.80,No
j108_7.mm,82,2599,361,20,Optimal,13.13,No
j108_8.mm,78,2483,349,14,Optimal,4.63,No
