instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3034_6.mm,256,239836,839530,41,Optimal,1.83,No,,,,,,
j3034_7.mm,247,205300,744030,44,Optimal,0.97,No,,,,,,
j3034_8.mm,233,209107,757753,47,Optimal,0.78,No,,,,,,
j3034_9.mm,237,226257,761196,38,Optimal,0.74,No,,,,,,
j3035_1.mm,244,259777,828255,34,Optimal,0.62,No,,,,,,
j3035_10.mm,248,257881,846723,51,Optimal,0.53,No,,,,,,
j3035_2.mm,239,260086,823247,35,Optimal,0.8,No,,,,,,
j3035_3.mm,255,233832,785073,39,Optimal,0.46,No,,,,,,
j3035_4.mm,253,245725,813169,47,Optimal,0.77,No,,,,,,
j3035_5.mm,240,241351,787837,42,Optimal,0.54,No,,,,,,
j3035_6.mm,240,260823,804248,41,Optimal,0.58,No,,,,,,
j3035_7.mm,231,244121,784978,35,Optimal,1.07,No,,,,,,
j3035_8.mm,242,257174,824632,40,Optimal,0.63,No,,,,,,
j3035_9.mm,236,255996,809427,36,Optimal,0.45,No,,,,,,
j3036_1.mm,241,262593,834526,,Infeasible,0.11,No,,,,,,
j3036_10.mm,245,291050,897132,,Infeasible,0.68,No,,,,,,
j3036_2.mm,228,260444,810394,,Infeasible,0.13,No,,,,,,
j3036_3.mm,253,286796,895521,,Infeasible,0.06,No,,,,,,
j3036_4.mm,233,302244,892816,,Infeasible,0.14,No,,,,,,
j3036_5.mm,244,238204,772695,,Infeasible,0.95,No,,,,,,
j3036_6.mm,238,296406,881879,,Infeasible,0.27,No,,,,,,
j3036_7.mm,224,273863,810244,,Infeasible,0.04,No,,,,,,
j3036_8.mm,230,269440,834205,,Infeasible,0.15,No,,,,,,
j3036_9.mm,238,269777,844508,,Infeasible,0.36,No,,,,,,
j3037_1.mm,241,424782,1258499,78,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3037_10.mm,235,448305,1253849,42,Optimal,434.66,No,,,,,,
j3037_2.mm,227,314183,961624,63,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3037_3.mm,239,397496,1204311,56,Optimal,480.72,No,,,,,,
j3037_4.mm,236,396318,1213034,54,Optimal,280.31,No,,,,,,
j3037_5.mm,225,359738,1095162,50,Optimal,4.96,No,,,,,,
j3037_6.mm,232,346143,1070154,62,Feasible,601.14,Yes,wall-time kill (parent),,,,,
